Ckey,Druid,Title,Purl,Symph_Bar,Call_Num
2924735,vr817qx8555,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/vr817qx8555,36105121219229,G4364 .N55 1929 .S3 SHEET1
2924735,yw487dk1885,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/yw487dk1885,36105121219211,G4364 .N55 1929 .S3 SHEET2
2924735,qc542sq4419,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/qc542sq4419,36105121219724,G4364 .N55 1929 .S3 SHEET3
2924735,nn890wz0432,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/nn890wz0432,36105121219732,G4364 .N55 1929 .S3 SHEET4
2924735,ny150qk0747,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/ny150qk0747,36105121219740,G4364 .N55 1929 .S3 SHEET5
2924735,zp413wc7635,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/zp413wc7635,36105121219757,G4364 .N55 1929 .S3 SHEET6
2924735,yc762xz9806,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/yc762xz9806,36105121219765,G4364 .N55 1929 .S3 SHEET7
2924735,rf379td9207,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/rf379td9207,36105121219773,G4364 .N55 1929 .S3 SHEET8
2924735,hb712nv3438,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/hb712nv3438,36105121219781,G4364 .N55 1929 .S3 SHEET9
2924735,yf448hs6997,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/yf448hs6997,36105121219799,G4364 .N55 1929 .S3 SHEET10
2924735,mg916km4439,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/mg916km4439,36105121219807,G4364 .N55 1929 .S3 SHEET11
2924735,nf839xx1482,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/nf839xx1482,36105121219815,G4364 .N55 1929 .S3 SHEET12
2924735,zt367mx0914,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/zt367mx0914,36105121219823,G4364 .N55 1929 .S3 SHEET13
2924735,wh036wv7124,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/wh036wv7124,36105121219831,G4364 .N55 1929 .S3 SHEET14
2924735,sk903wn1494,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/sk903wn1494,36105121219609,G4364 .N55 1929 .S3 SHEET15
2924735,dg461yk6238,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/dg461yk6238,36105121219617,G4364 .N55 1929 .S3 SHEET16
2924735,jn696zf4591,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/jn696zf4591,36105121219625,G4364 .N55 1929 .S3 SHEET17
2924735,vx364by7802,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/vx364by7802,36105121219633,G4364 .N55 1929 .S3 SHEET18
2924735,pg045yj2257,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/pg045yj2257,36105121219641,G4364 .N55 1929 .S3 SHEET19
2924735,rv254xv0917,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/rv254xv0917,36105121219674,G4364 .N55 1929 .S3 SHEET20
2924735,mf639cw3623,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/mf639cw3623,36105121219666,G4364 .N55 1929 .S3 SHEET21
2924735,ng051tj9305,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/ng051tj9305,36105121219658,G4364 .N55 1929 .S3 SHEET22
2924735,sr049nw3979,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/sr049nw3979,36105121219682,G4364 .N55 1929 .S3 SHEET23
2924735,rj327gj9420,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/rj327gj9420,36105121219690,G4364 .N55 1929 .S3 SHEET24
2924735,cz516dp6672,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/cz516dp6672,36105121219708,G4364 .N55 1929 .S3 SHEET25
2924735,cm202gr3223,"Newport Beach, Orange Co., Cal., Feb. 1929.",https://purl.stanford.edu/cm202gr3223,36105121219716,G4364 .N55 1929 .S3 SHEET26
